FOREIGN NET BUY + 5D DECLINE
Run date: 2026-01-22

Ticker  NetForeign5D  Chg5%  LastClose
BRMS          139.1M  -1.60%      1,230
ELTY           92.0M -34.34%         65
BKSL           62.4M  -6.21%        151
GMFI           56.5M -14.46%         71
ASII           52.1M  -4.91%      6,775
BMTR           43.7M  -6.32%        163
PTRO           39.0M -13.10%     10,775
CNMA           36.0M  -1.63%        121
CTRA           29.9M  -1.66%        890
ESSA           28.4M  -3.60%        670
BNBR           27.8M -27.69%        188
BABP           24.5M  -5.88%         64
CENT           21.4M  -1.84%        160
KLBF           20.6M  -0.41%      1,225
BREN           19.5M  -1.55%      9,500
MSIN           15.2M  -3.23%        480
BGTG           14.6M  -2.16%        136
SMGA           14.1M  -0.80%        124
DADA           11.9M  -1.96%         50
BRRC           11.6M  -5.97%        126
PGEO           11.4M  -2.38%      1,230
ASRI           11.3M  -2.15%        182
MEJA           11.0M  -1.79%        165
SLIS           10.8M  -3.51%        110
SOLA           10.4M  -4.58%        146

Total matches: 163
