STOCK	BROKERS	PRICE_MIN	PRICE_MAX	PRICE_AVG
BUMI	11	256	2230	438
ADRO	8	2215	2238	2230
BBCA	8	7239	7477	7372
BBRI	8	3808	3835	3822
CUAN	8	1759	1827	1797
ANTM	7	4180	4225	4212
ARCI	7	1790	1832	1816
BRMS	7	1042	1768	1166
MEDC	7	1545	1587	1556
RMKE	7	5076	5206	5112
BBNI	6	4503	4548	4515
BMRI	6	4763	4804	4780
MDKA	6	3205	3272	3235
PTRO	6	7363	7431	7406
ADMR	5	2016	2038	2027
ASII	5	6393	6448	6413
BULL	5	498	513	502
EXCL	5	2230	3377	3117
ICBP	5	7894	25621	11477
INDY	5	3275	3351	3317
UNTR	5	3310	25808	21132
