NET BUY AT T THEN PRICE UP T+1
Run date: 2026-01-22

Ticker  NetForeignT  NextRet%  Close
BBKP          132.5M    3.61%         86
NCKL           45.6M    1.38%      1,465
ANTM           38.6M    1.18%      4,270
BBRI           31.6M    0.26%      3,820
PSKT           25.0M    4.69%        402
EMTK           22.1M    2.87%      1,075
ENRG           20.6M    1.97%      1,550
ELTY           19.7M   10.77%         72
ELIT           12.9M    8.99%        388
MDKA           12.3M    2.16%      3,310
IMPC           10.8M    0.57%      3,550
VKTR            8.9M    2.09%      1,220
PBRX            8.1M    9.80%         56
BRPT            7.8M    4.00%      2,860
JPFA            7.7M    1.74%      2,930
SGRO            6.9M    0.32%      7,800
KREN            6.7M    7.41%         29
AYAM            6.5M    3.04%        474
DSFI            5.9M    1.64%        124
BNBR            5.4M   10.64%        208
MSJA            5.1M    1.66%        368
WSBP            5.0M    8.00%         27
RAJA            5.0M    4.53%      6,350
RELF            3.9M    3.85%         54
DKFT            3.8M    1.12%        905

Total matches: 117
