TECHNICAL ENHANCED SWING (3.12, 3.14, 3.4 + 3.13, 3.10)
Run date: 2026-01-22

Ticker  Close  MA10  MA30  BB%  Vol20%
BANK       800     957     955   -9.1%    4.66%
DGIK       140     161     160   -7.0%    4.79%
UNTR    27,450   30662   30024   -3.0%    3.79%
MERK     3,260    3322    3291   -1.6%    0.79%
ALII       905    1106    1048    1.9%    5.82%
FORE       530     550     549    7.3%    1.91%
APII       202     212     206   16.3%    1.84%
ADHI       252     263     258   19.5%    2.01%
ARTA     2,800    3018    2978   22.3%    6.06%
MDKI       208     218     216   24.2%    3.01%
GOLD       330     342     338   24.6%    2.48%
UNSP       416     502     409   25.8%    6.00%
KDSI       454     459     458   25.8%    1.31%
PTRO    10,775   12108   11248   26.6%    4.52%
SUNI       810     822     819   28.5%    1.52%
PTPP       374     395     382   28.6%    3.01%
MTMH     1,160    1186    1183   28.6%    1.57%
AKPI       565     578     572   29.9%    1.70%

Total matches: 18
